127.0.0.1, 2015-11-25 21:53:56, GET, /, HTTP/1.1, 303, 0.001009
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/default/index, HTTP/1.1, 200, 1.285079
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000552
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.005424
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000605
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000428
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000703
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001879
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000877
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000844
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000389
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000245
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001084
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000372
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000596
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001122
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000563
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000700
127.0.0.1, 2015-11-25 21:53:58, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000401
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/default/index, HTTP/1.1, 200, 0.160995
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 200, 0.000636
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.000539
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000685
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.000500
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001507
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.001194
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000862
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000545
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000575
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000645
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000519
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000550
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.000576
127.0.0.1, 2015-11-25 21:54:01, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.000507
127.0.0.1, 2015-11-25 21:54:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000223
127.0.0.1, 2015-11-25 21:54:05, POST, /admin/default/index, HTTP/1.1, 303, 0.030307
127.0.0.1, 2015-11-25 21:54:05, GET, /admin/default/site, HTTP/1.1, 200, 0.035951
127.0.0.1, 2015-11-25 21:54:05, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.000362
127.0.0.1, 2015-11-25 21:54:05, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.001273
127.0.0.1, 2015-11-25 21:54:05, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000425
127.0.0.1, 2015-11-25 21:54:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2015-11-25 21:54:07, POST, /admin/default/check_version, HTTP/1.1, 200, 1.420943
127.0.0.1, 2015-11-25 21:54:08, POST, /admin/default/enable/welcome, HTTP/1.1, 200, 0.030858
127.0.0.1, 2015-11-25 21:54:11, GET, /admin/default/uninstall/examples, HTTP/1.1, 200, 0.032590
127.0.0.1, 2015-11-25 21:54:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
127.0.0.1, 2015-11-25 21:54:13, POST, /admin/default/uninstall/examples, HTTP/1.1, 303, 0.236929
127.0.0.1, 2015-11-25 21:54:13, GET, /admin/default/site, HTTP/1.1, 200, 0.035419
127.0.0.1, 2015-11-25 21:54:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000212
127.0.0.1, 2015-11-25 21:54:16, GET, /admin/default/uninstall/welcome, HTTP/1.1, 200, 0.034907
127.0.0.1, 2015-11-25 21:54:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
127.0.0.1, 2015-11-25 21:54:19, POST, /admin/default/uninstall/welcome, HTTP/1.1, 303, 0.179803
127.0.0.1, 2015-11-25 21:54:19, GET, /admin/default/site, HTTP/1.1, 200, 0.032365
127.0.0.1, 2015-11-25 21:54:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000430
127.0.0.1, 2015-11-25 21:54:56, POST, /admin/default/site, HTTP/1.1, 303, 0.200231
127.0.0.1, 2015-11-25 21:54:56, GET, /admin/default/site, HTTP/1.1, 200, 0.032052
127.0.0.1, 2015-11-25 21:54:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000222
127.0.0.1, 2015-11-25 21:54:59, GET, /CNER/default/index, HTTP/1.1, 200, 0.042035
127.0.0.1, 2015-11-25 21:54:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000215
127.0.0.1, 2015-11-25 21:55:02, GET, /CNER/default/process, HTTP/1.1, 200, 0.017522
127.0.0.1, 2015-11-25 21:55:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000195
127.0.0.1, 2015-11-25 21:55:04, GET, /CNER/default/index, HTTP/1.1, 200, 0.011556
127.0.0.1, 2015-11-25 21:55:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000439
127.0.0.1, 2015-11-25 21:55:07, GET, /admin/default/site, HTTP/1.1, 200, 0.043137
127.0.0.1, 2015-11-25 21:55:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000192
127.0.0.1, 2015-11-25 21:55:14, GET, /admin/default/logout, HTTP/1.1, 303, 0.024412
127.0.0.1, 2015-11-25 21:55:14, GET, /admin/default/index, HTTP/1.1, 200, 0.026444
127.0.0.1, 2015-11-25 21:55:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000358
